service_id,date,exception_type
DEC24-D02CAR-1_Weekday-SANTHA0,20250516,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250516,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250516,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250519,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250519,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250519,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250519,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250520,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250520,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250520,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250520,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250521,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250521,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250521,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250521,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250522,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250522,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250522,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250522,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250523,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250523,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250523,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250523,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250527,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250527,2
DEC24-D02CAR-1_Weekday-KINGMS1,20250527,2
DEC24-D02CAR-1_Weekday-SANTHS1,20250527,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250528,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250528,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250528,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250528,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250529,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250529,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250529,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250529,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250530,2
DEC24-D02CAR-1_Weekday-SANTHA0,20250530,2
DEC24-D02CAR-1_Weekday-KINGMA0,20250530,2
DEC24-D02CAR-1_Weekday-SANTHB0,20250530,2
DEC24-D02CAR-1_Weekday-KINGMB0,20250602,2
